Name                                                                   Stmts   Miss  Cover
------------------------------------------------------------------------------------------
config\__init__.py                                                         0      0   100%
config\asgi.py                                                             4      4     0%
config\settings.py                                                        28      0   100%
config\urls.py                                                             3      0   100%
config\wsgi.py                                                             4      4     0%
manage.py                                                                 11      2    82%
materials\__init__.py                                                      0      0   100%
materials\admin.py                                                         1      0   100%
materials\apps.py                                                          4      0   100%
materials\migrations\0001_initial.py                                       6      0   100%
materials\migrations\0002_course_owner_lesson_owner.py                     6      0   100%
materials\migrations\0003_subscription.py                                  6      0   100%
materials\migrations\0004_rename_owner_subscription_user_and_more.py       5      0   100%
materials\migrations\__init__.py                                           0      0   100%
materials\models.py                                                       27      0   100%
materials\paginations.py                                                   5      0   100%
materials\serializers.py                                                  35      6    83%
materials\tests.py                                                        73      0   100%
materials\urls.py                                                          9      0   100%
materials\validators.py                                                    9      3    67%
materials\views.py                                                        65     13    80%
users\__init__.py                                                          0      0   100%
users\admin.py                                                             5      0   100%
users\apps.py                                                              4      0   100%
users\management\__init__.py                                               0      0   100%
users\management\commands\__init__.py                                      0      0   100%
users\management\commands\csu.py                                          10     10     0%
users\migrations\0001_initial.py                                           7      0   100%
users\migrations\0002_payment.py                                           6      0   100%
users\migrations\__init__.py                                               0      0   100%
users\models.py                                                           23      0   100%
users\permissions.py                                                      10      1    90%
users\serializers.py                                                      10      0   100%
users\tests.py                                                             1      0   100%
users\urls.py                                                              7      0   100%
users\views.py                                                            31      3    90%
------------------------------------------------------------------------------------------
TOTAL                                                                    415     46    89%
